CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,PRES,PRES_ERROR,PRES_QC,PSAL,PSAL_ERROR,PSAL_QC,TEMP,TEMP_ERROR,TEMP_QC,TIME_QC,LATITUDE,LONGITUDE,TIME
108,D,A,2902769,1,0.3,2.4,1,33.91282,0.01,1,28.241,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,1.0,2.4,1,33.91206,0.01,1,28.242,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,2.0,2.4,1,33.91101,0.01,1,28.241,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,2.9,2.4,1,33.91305,0.01,1,28.241,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,3.9,2.4,1,33.91198,0.01,1,28.24,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,5.0,2.4,1,33.91317,0.01,1,28.241,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,5.9,2.4,1,33.91382,0.01,1,28.237,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,6.8,2.4,1,33.91295,0.01,1,28.24,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,7.8,2.4,1,33.91378,0.01,1,28.24,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,8.9,2.4,1,33.91262,0.01,1,28.243,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,10.0,2.4,1,33.92286,0.01,1,28.25,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,16.3,2.4,1,33.94489,0.01,1,28.263,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,25.3,2.4,1,34.13229,0.01,1,28.278,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,35.3,2.4,1,34.35248,0.01,1,27.794,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,45.4,2.4,1,34.44241,0.01,1,27.283,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,55.6,2.4,1,34.69729,0.01,1,27.516,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,65.3,2.4,1,34.69191,0.01,1,27.198,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,75.4,2.4,1,34.65355,0.01,1,26.491,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,85.5,2.4,1,34.99979,0.01,1,26.985,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,95.4,2.4,1,35.10238,0.01713,1,26.736,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,105.7,2.4,1,34.65306,0.01492,1,24.372,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,115.3,2.4,1,34.57207,0.01035,1,22.519,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,125.7,2.4,1,34.61153,0.01536,1,21.255,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,135.3,2.4,1,34.6718,0.0119,1,19.421,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,145.8,2.4,1,34.78996,0.01,1,17.972,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,155.6,2.4,1,34.84832,0.01,1,17.244,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,165.8,2.4,1,34.90692,0.01,1,16.576,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,175.0,2.4,1,34.94193,0.01,1,15.913,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,185.4,2.4,1,34.95965,0.01,1,15.045,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,195.7,2.4,1,34.95433,0.01,1,14.354,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,213.3,2.4,1,35.00325,0.01,1,13.664,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,238.7,2.4,1,35.0338,0.01,1,12.999,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,262.8,2.4,1,35.04869,0.01,1,12.501,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,287.8,2.4,1,35.04924,0.01,1,12.02,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,314.1,2.4,1,35.05729,0.01,1,11.65,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,337.4,2.4,1,35.05791,0.01,1,11.312,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
108,D,A,2902769,1,362.9,2.4,1,35.05888,0.01,1,11.053,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
